F1@30,F1@40,F1@50,F1@60,F1@70,model,percision@30,recall@30,percision@40,recall@40,percision@50,recall@50,percision@60,recall@60,percision@70,recall@70,ndcg@30,ndcg@40,ndcg@50,ndcg@60,ndcg@70,ndcg@all
0.05298805246745785,0.06741498600588575,0.07436691575697446,0.08136621275415362,0.08939056597835082,topk,,,,,,,,,,,,,,,,
0.15833333333333316,0.14725000000000002,0.1379999999999999,0.1316666666666666,0.12742857142857122,sk-linear-regression,0.15833333333333316,0.15833333333333316,0.14725000000000002,0.14725000000000002,0.1379999999999999,0.1379999999999999,0.1316666666666666,0.1316666666666666,0.12742857142857122,0.12742857142857122,0.3227175074501127,0.31847977697064683,0.31853229520099213,0.3208078970381898,0.32533253836496834,0.5551181333257007
0.2533333333333333,0.22250000000000003,0.19719999999999996,0.1775,0.16271428571428553,sk-lasso,0.2533333333333333,0.2533333333333333,0.22250000000000003,0.22250000000000003,0.19719999999999996,0.19719999999999996,0.1775,0.1775,0.16271428571428553,0.16271428571428553,0.5144216873470456,0.4992274388462187,0.4915382835855731,0.48561142979717514,0.48278105367305435,0.6509239917256623
,,,,,sk-lasso,,,,,,,,,,,,,,,,
0.08899999999999995,0.12425000000000003,0.15379999999999996,0.17983333333333346,0.23099999999999998,sk-omp,0.08899999999999995,0.08899999999999995,0.12425000000000003,0.12425000000000003,0.15379999999999996,0.15379999999999996,0.17983333333333346,0.17983333333333346,0.23099999999999998,0.23099999999999998,0.16051415405679806,0.15409006120698546,0.15051954232431985,0.14861313838195275,0.14761413801180734,0.38546884369636736
0.20999999999999988,0.18825000000000003,0.17359999999999992,0.16133333333333333,0.15042857142857124,BPDN,0.20999999999999988,0.20999999999999988,0.18825000000000003,0.18825000000000003,0.17359999999999992,0.17359999999999992,0.16133333333333333,0.16133333333333333,0.15042857142857124,0.15042857142857124,0.4232519130429995,0.41224713825270953,0.40823314697030755,0.40809282216598114,0.40916783160249587,0.6103940139474741
,,,,,BPDN,,,,,,,,,,,,,,,,
0.6089894257083913,0.5980884546537699,0.5912572707180971,0.5826250098245361,0.5782838926906454,our-lasso,0.6089894257083913,0.6089894257083913,0.5980884546537699,0.5980884546537699,0.5912572707180971,0.5912572707180971,0.5826250098245361,0.5826250098245361,0.5782838926906454,0.5782838926906454,0.8253265295349422,0.8071669387856291,0.7988950062065017,0.7922325711740928,0.7890607359136449,0.882730128702843
