F1@10,F1@30,F1@50,model,percision@10,recall@10,percision@30,recall@30,percision@50,recall@50,ndcg@10,ndcg@30,ndcg@50,ndcg@all
0.0320992021221858,0.0816550080849855,0.12359860894976543,topk,,,,,,,,,,
0.5125252525252523,0.3212794612794618,0.2582222222222221,sk-linear-regression,0.5125252525252523,0.5125252525252523,0.3212794612794618,0.3212794612794618,0.2582222222222221,0.2582222222222221,0.8369453550284024,0.770951945325683,0.7470090587977082,0.831571169251063
0.8333333333333327,0.629629629629628,0.5188282828282832,sk-lasso,0.8333333333333327,0.8333333333333327,0.629629629629628,0.629629629629628,0.5188282828282832,0.5188282828282832,0.9771540100691148,0.9340485268254104,0.9087190953564214,0.9262360503605663
0.5117171717171718,0.29663299663299664,0.21773737373737376,sk-omp,0.5117171717171718,0.5117171717171718,0.29663299663299664,0.29663299663299664,0.21773737373737376,0.21773737373737376,0.7358850119181755,0.6745174503148066,0.6487742708438385,0.7524499372076955
0.787272727272727,0.5751515151515139,0.47220202020201996,BPDN,0.787272727272727,0.787272727272727,0.5751515151515139,0.5751515151515139,0.47220202020201996,0.47220202020201996,0.9633714776068574,0.914404017755054,0.8885580541308558,0.9214041602102563
0.8764736842105265,0.7200491228070176,0.6054799999999998,our-lasso,0.8764736842105265,0.8764736842105265,0.7200491228070176,0.7200491228070176,0.6054799999999998,0.6054799999999998,0.9887203406283079,0.9607362078574562,0.9378860417756666,0.9474208495094114
