model,F1@50,F1@100,F1@200,ndcg@50,ndcg@100,ndcg@200,ndcg@all
topk,0.09361759086910722,0.151707981565172,0.2221068030333533,0.07563302439890733,0.09269527180595286,0.1170920989055331,0.3332565846897621
sk-linear-regression,0.11715398806607838,0.14827726440612574,0.1725002958115551,0.6734152202054567,0.671708562560267,0.686654810829559,0.7884874292741352
sk-lasso,0.19480620021365966,0.20582908689114277,0.18865442314958544,0.806047019266144,0.7874183373926117,0.778637554757109,0.8644063902820156
our-lasso,0.20517403492875144,0.24220428242532552,0.2619438794743701,0.8325998193753007,0.8235186973682092,0.8318240976524014,0.8992885461874496
