F1@10,F1@30,F1@50,ndcg@10,ndcg@30,ndcg@50,ndcg@all,model
0.1786312696605266,0.21846954883964637,0.2262727616442326,0.02409501972409273,0.04223054372209373,0.05288248761681193,0.3374410510196482,topk
0.12525630777003574,0.15486649155055526,0.15714387428994825,0.517069671629431,0.44938833957350444,0.4385289642547,0.6449232310070044,sk-linear-regression
0.18675089859798544,0.23299293403068544,0.2293152558615815,0.5702269197600877,0.511560806267049,0.5046931132503284,0.6504442229096039,sk-lasso
0.20279817086327173,0.2476182872976043,0.24165778120558049,0.6685352131964576,0.5829287444955165,0.5673610860947682,0.7301425189119148,our-lasso
