F1@10,F1@30,F1@50,model,percision@10,recall@10,percision@30,recall@30,percision@50,recall@50,ndcg@10,ndcg@30,ndcg@50,ndcg@all
0.03905599606608502,0.09388125170703454,0.14622305802324925,topk,,,,,,,,,,
0.003434343434343436,0.013063973063973047,0.025097243305035367,KNN,0.0034343434343434356,0.0034343434343434356,0.013063973063973047,0.013063973063973047,0.025097243305035367,0.025097243305035367,0.012554161873047538,0.020274460503830385,0.025791508766189818,0.32766244916834136
0.4098989898989905,0.2504377104377105,0.21054249358145447,sk-linear-regression,0.4098989898989905,0.4098989898989905,0.2504377104377105,0.2504377104377105,0.21054249358145447,0.21054249358145447,0.7372974482163788,0.6754682979377017,0.6538235611704534,0.778886191947359
0.39656565656565645,0.2317845117845119,0.20105369089784683,sk-lasso,0.39656565656565645,0.39656565656565645,0.2317845117845119,0.2317845117845119,0.20105369089784683,0.20105369089784683,0.7259419918741146,0.6636389605686347,0.6462546334559487,0.7718662452720628
0.27373737373737334,0.1486195286195288,0.11689061299450904,sk-omp,0.27373737373737334,0.27373737373737334,0.1486195286195288,0.1486195286195288,0.11689061299450904,0.11689061299450904,0.47995167821770685,0.43558444659426543,0.4209084132856516,0.6096405281974892
0.1339393939393943,0.14619528619528652,0.13703873615561912,BPDN,0.1339393939393943,0.1339393939393943,0.14619528619528652,0.14619528619528652,0.13703873615561912,0.13703873615561912,0.25390999496815747,0.32445736512254614,0.3333855194590919,0.532397677879761
0.7746000000000001,0.520719298245614,0.4127897900595645,our-lasso,0.7746000000000001,0.7746000000000001,0.520719298245614,0.520719298245614,0.4127897900595645,0.4127897900595645,0.9594275691085767,0.8879809195997765,0.8526726189715255,0.9034121114735886
