F1@10,F1@30,F1@50,ndcg@10,ndcg@30,ndcg@50,ndcg@all,model
0.02745952111167467,0.06093966788839775,0.07726779367934514,0.02806885474781206,0.03771949992174143,0.04573042479786266,0.3141552158576379,topk
0.14542595716146256,0.15375063480873724,0.14862151138470192,0.5513624813825849,0.5129035387501593,0.5195115519569558,0.6717114598153451,sk-linear-regression
0.31217493321429834,0.3027077002604872,0.26245203780458615,0.7812774700770801,0.7203289436119314,0.7200132803537095,0.8015474329615078,sk-lasso
0.3333813975967193,0.3237695821114284,0.2777310665998793,0.8258153862167747,0.7581902744530608,0.754911305526403,0.846987978385488,our-lasso
